0xAD1408B91D5883cC6f43Ec4BAAeC37579e909012,26976330796.331400000000000000
0xB0a559E83318Bf265A14C9F8968dCF4111B18cbc,26852812311.017400000000000000
0x8bE0FA1C306bc74036Da7A27680C025B099AA2C3,26821819250.357500000000000000
0x0C619402e57A2b6C93728dF02F2307d504BEe0B3,26759594183.643500000000000000
0x686B8e789AD971256d75468D9BfeCF214Db5494D,26673825642.961500000000000000
0x039641A7b2B57BE1aB38eF244A2345472e3ae51a,26629484733.518300000000000000
0x4B7bcb3D16d9B3D04813d7814476EAE5aC4AC5E8,26367339549.132500000000000000
0x83650A7cDb71376335BfC80FFCFe18447351C97b,26365749582.333800000000000000
0x54c123c2ae49145634F6c364aB1872780dAd4CBE,26169124437.647600000000000000
0x42Dac4c72EEe97baeE3bBacc7102790a7a1800Ee,26043032156.130900000000000000
0xA46374BB5a49fC1afEe0b33689E7d7f6e2E6BA2d,25837433849.154000000000000000
0xd35D748B607b5667Ce905cc130272740f8639e9c,25786434153.172700000000000000
0x10D1fB8CE48FCB6c418FFFBb1E4B919cA927763f,25773608066.787100000000000000
0x0bA7122364d09D08739b16548351671391797524,25772365467.170200000000000000
0x98B2690c6A98669B53f99Ad80C0eEd08a641707C,25761504194.676800000000000000
0x4580719aB87eB414Df356c423bAdEb95b71E13cD,25605800128.894800000000000000
0xDBe156ACA791fE53d3dedcFEf7Cc6Ea0736ADc7E,25533710044.932900000000000000
0x86dB13e23280CCFe5eC420e538563D1200c4edd5,25527070093.446800000000000000
0xBda2CC4f974362D260c6b930059981D80fCD9E95,25170586777.016200000000000000
0xF478A494afC88BEf17237b215414CEFb9AbA76E7,25128782342.168800000000000000
0x537A2C6be30b97Dc832E15e7b6B483447aCdE78C,25029304275.319600000000000000
0xe14cA4152e048f9cdD9A1e3B12a5a42fC3c3C9e6,24997388057.293000000000000000
0x6c86897587620883F73eA89049F77388c1542e05,24965235024.509400000000000000
0x518EC1006d2a9518388cF862369b1534190E12Fa,24818132845.955100000000000000
0x95353146ba10679bF5C8FBFdc950d0103FfCcF8C,24744691761.592900000000000000
0x1983C69237CA359efD2774f0B399C7eF7AC03A56,24162131696.276900000000000000
0x8cF8e3d008AdfE5d3e07Da764280701e113fE487,24056567703.300400000000000000
0x690D89868E0b80263752D07fe5Fd2846d1A58d6c,23642332393.584300000000000000
0x3ecDbd76Dee0FA9cD232b4b54B96B80e8CE285Cf,23620770427.977900000000000000
0xb1Eee8d930C9bfaCa2AD5345922D7c37cbbF2d7c,23473701421.088900000000000000
0x2DC4DbE3fF63cb49C577375fA5af3C55c4FC3a2A,23454561021.351800000000000000
0x3E941D23f241885784ef72BFB2B5f040252f1739,23128567312.199600000000000000
0xb92c55DB9f5EdD46423980Fbe7fDB9948fAF5b57,22907552717.123200000000000000
0x9Cc6883D8E42f8D9e07C7E61135e6B5d27A783aD,22905543468.932700000000000000
0x3BDa83Ad555690d9f5060eDbcD287e4fC4B591FD,22851729830.250100000000000000
0xfBe51417Dc45d231834eba98eeAf10E668998099,22657525239.080100000000000000
0x8339F918a011AbDb6A3692bF22Bf6D2fd05a99C7,22495606238.279600000000000000
0x4c2A9F904D97E868D3339AB98071140E46A458CF,22347911355.073800000000000000
0x32792Cd97b1013F92B4B852d14bFAa3dD20400f1,22085422510.795400000000000000
0x7CE218FB540910d3b81986Be5263eD9CD207b499,21614942745.108000000000000000
0x8fC4EB1a52569671472D44E126556d0cbA64aD5E,21558772395.482500000000000000
0x4566c08080a1A4e08CC8aB0ED4c10979efDadF35,21341222478.023900000000000000
0xC346C3f1D8dd49217003eEc2C70b32dDCF3D8f33,20934541822.114600000000000000
0x857F39452FF509487881d48647A7d6FbCa994Ded,20386675548.135600000000000000
0xF2Ef8Aa28EA7E38043D71D6e1aa011030bc31c5c,20300000000.000000000000000000
0xCD0BfD0db93BaE6C7972f5d81B1cb042bd1f4868,20286012097.320500000000000000
0xeb5887734E12DcE3F0FF264AE50Ce2d4CcEEcc67,20124786020.283900000000000000
0x3fba48ae29b99B139515c9D717Db3B9A3Bf0FaF5,20121505616.305500000000000000
0x3bD71a0303E4301a973f8218550053BfF6c8075b,19831581482.672800000000000000
0x5e8cb2c4aeA7805c15C4aab30fbA16B427c4E741,19619622423.128900000000000000
